발생지시도,발생지시군구,가해자법규위반,경도,위도
서울,중랑구,안전운전 의무 불이행,127.0918344,37.5807023
서울,종로구,안전운전 의무 불이행,127.001397,37.57089982
서울,동대문구,안전운전 의무 불이행,127.0439786,37.57226177
서울,서초구,안전운전 의무 불이행,126.9863324,37.47567933
서울,강북구,중앙선 침범,127.0275578,37.63503883
서울,동대문구,과속,127.0256069,37.57463202
서울,영등포구,안전운전 의무 불이행,126.9063458,37.51626208
서울,중랑구,안전운전 의무 불이행,127.0969292,37.58943584
서울,광진구,안전운전 의무 불이행,127.0820503,37.55616937
서울,강동구,과속,127.1282117,37.52385693
서울,중랑구,안전운전 의무 불이행,127.0933725,37.58110421
서울,송파구,안전운전 의무 불이행,127.1054514,37.50699077
서울,영등포구,안전운전 의무 불이행,126.9031599,37.53549886
서울,노원구,과속,127.0788043,37.61869329
서울,동대문구,안전운전 의무 불이행,127.0712837,37.60151365
서울,서초구,안전운전 의무 불이행,127.0176956,37.49482121
서울,노원구,안전운전 의무 불이행,127.0606623,37.65456353
서울,강동구,과속,127.1497563,37.5317646
서울,용산구,안전운전 의무 불이행,126.9467231,37.53430489
서울,서초구,안전운전 의무 불이행,126.9825039,37.47652793
서울,마포구,안전운전 의무 불이행,126.9047944,37.55628316
서울,용산구,안전거리 미확보,126.9584826,37.53280006
서울,서대문구,안전운전 의무 불이행,126.9449834,37.59184767
서울,금천구,안전운전 의무 불이행,126.8960178,37.4680954
서울,용산구,안전운전 의무 불이행,126.9711051,37.53243363
서울,용산구,안전운전 의무 불이행,126.9568482,37.53655119
서울,강남구,안전운전 의무 불이행,127.0254289,37.50447453
서울,강북구,기타,127.0289484,37.64097969
서울,양천구,보행자 보호의무 위반,126.871927,37.51581366
서울,서대문구,안전운전 의무 불이행,126.9481743,37.56776071
서울,동대문구,안전운전 의무 불이행,127.0231262,37.57293651
서울,구로구,안전거리 미확보,126.8892703,37.4954349
서울,영등포구,보행자 보호의무 위반,126.9057244,37.52841096
서울,강동구,신호위반,127.1661096,37.5625572
서울,양천구,중앙선 침범,126.8635392,37.52681029
서울,도봉구,안전운전 의무 불이행,127.0434053,37.68271875
서울,송파구,안전운전 의무 불이행,127.1436727,37.51629711
서울,용산구,기타,126.997017,37.53009516
서울,중랑구,중앙선 침범,127.0798398,37.58486951
서울,은평구,기타,126.9157228,37.59939488
서울,동대문구,신호위반,127.0717568,37.57232074
서울,강서구,안전운전 의무 불이행,126.8618152,37.55115536
서울,서대문구,안전운전 의무 불이행,126.9445774,37.59162043
서울,강동구,신호위반,127.1776216,37.56596927
서울,은평구,안전운전 의무 불이행,126.9009005,37.57880607
서울,강동구,신호위반,127.1522169,37.53809939
서울,동대문구,안전운전 의무 불이행,127.0602432,37.57562241
서울,노원구,안전운전 의무 불이행,127.075622,37.66340632
서울,금천구,중앙선 침범,126.8973788,37.45350934
서울,중랑구,과속,127.092544,37.59804667
