발생지시도,발생지시군구,법규위반,경도,위도
서울,서초구,안전운전 의무 불이행,127.0384984,37.46501785
서울,서초구,신호위반,127.0130697,37.50860203
서울,양천구,신호위반,126.8392781,37.51744725
서울,양천구,안전운전 의무 불이행,126.834919,37.52538168
서울,노원구,기타(운전자법규위반),127.0617941,37.64910564
서울,노원구,안전운전 의무 불이행,127.0783154,37.65628642
서울,도봉구,안전운전 의무 불이행,127.0444947,37.67333108
서울,은평구,안전운전 의무 불이행,126.9150721,37.61739138
서울,은평구,안전운전 의무 불이행,126.917051,37.62371954
서울,강남구,안전운전 의무 불이행,127.0741741,37.48519452
서울,종로구,안전운전 의무 불이행,127.0028223,37.57113118
서울,은평구,안전운전 의무 불이행,126.9349697,37.60239092
서울,은평구,신호위반,126.8953801,37.58222105
서울,강북구,안전운전 의무 불이행,127.0127956,37.62895786
서울,동대문구,안전운전 의무 불이행,127.0679631,37.56644815
서울,광진구,안전운전 의무 불이행,127.0921836,37.55196846
서울,광진구,안전운전 의무 불이행,127.0662231,37.54626953
서울,마포구,과속,126.9445751,37.53854919
서울,금천구,안전운전 의무 불이행,126.9008518,37.45326561
서울,관악구,안전운전 의무 불이행,126.957577,37.47934194
서울,관악구,안전운전 의무 불이행,126.9204237,37.47367987
서울,강남구,신호위반,127.0280911,37.52010121
서울,강서구,안전운전 의무 불이행,126.8241451,37.57301958
서울,강동구,안전운전 의무 불이행,127.1298694,37.55481469
서울,강동구,기타(운전자법규위반),127.1721207,37.5628715
서울,강동구,보행자 보호의무 위반,127.1710156,37.55927202
서울,송파구,안전운전 의무 불이행,127.1134001,37.49048609
서울,송파구,안전운전 의무 불이행,127.1214284,37.50232894
서울,송파구,안전운전 의무 불이행,127.1549555,37.49644659
서울,송파구,안전운전 의무 불이행,127.1062673,37.51321288
서울,송파구,신호위반,127.1130146,37.49723603
서울,성북구,신호위반,127.0323456,37.60351098
서울,성북구,신호위반,127.0338697,37.60073006
서울,성북구,안전운전 의무 불이행,127.0368611,37.60610663
서울,성북구,안전운전 의무 불이행,127.0356583,37.59547506
서울,구로구,신호위반,126.8912244,37.48046447
서울,서초구,안전운전 의무 불이행,127.0085157,37.49045686
서울,양천구,안전운전 의무 불이행,126.8272841,37.51483774
서울,노원구,직진 및 우회전차의 통행방해,127.0902211,37.62293375
서울,노원구,과속,127.0761294,37.66389487
서울,은평구,신호위반,126.9117701,37.61367048
서울,서초구,안전운전 의무 불이행,126.9926427,37.48746935
서울,서초구,안전운전 의무 불이행,127.0002529,37.47763189
서울,중구,기타(운전자법규위반),127.0027984,37.56449716
서울,중구,안전운전 의무 불이행,126.9833806,37.56593706
서울,서대문구,중앙선 침범,126.941255,37.59209148
서울,용산구,안전운전 의무 불이행,127.0106206,37.53018837
서울,강북구,중앙선 침범,127.0242605,37.63135713
서울,동대문구,안전운전 의무 불이행,127.054675,37.56551545
서울,동대문구,안전운전 의무 불이행,127.0701006,37.57872331
서울,광진구,안전운전 의무 불이행,127.0948719,37.53638429
서울,마포구,신호위반,126.9550659,37.55749033
서울,마포구,안전운전 의무 불이행,126.9407184,37.55631458
서울,영등포구,안전운전 의무 불이행,126.8918818,37.5109877
서울,영등포구,안전운전 의무 불이행,126.9059857,37.51601691
서울,영등포구,신호위반,126.9338134,37.51870441
서울,영등포구,기타(운전자법규위반),126.9052737,37.5216017
서울,영등포구,안전운전 의무 불이행,126.9018444,37.49613019
서울,영등포구,안전운전 의무 불이행,126.9011733,37.49657747
서울,영등포구,안전운전 의무 불이행,126.8943811,37.51675117
서울,성동구,중앙선 침범,127.025566,37.56500547
서울,성동구,안전운전 의무 불이행,127.0315889,37.56336202
서울,동작구,기타(운전자법규위반),126.9231848,37.4999499
서울,중랑구,안전운전 의무 불이행,127.0766982,37.61362022
서울,강남구,신호위반,127.0307211,37.51394641
서울,강서구,안전거리 미확보,126.8728838,37.55020516
서울,강동구,안전운전 의무 불이행,127.1250747,37.5401165
서울,송파구,안전운전 의무 불이행,127.0911469,37.50961917
서울,송파구,안전운전 의무 불이행,127.0969934,37.50391563
서울,성북구,보행자 보호의무 위반,127.0489718,37.61368876
서울,서초구,중앙선 침범,127.0227872,37.49644631
서울,도봉구,안전운전 의무 불이행,127.037527,37.64127052
서울,은평구,신호위반,126.9228582,37.61718636
서울,은평구,안전운전 의무 불이행,126.9077718,37.64634188
서울,강남구,안전거리 미확보,127.0613815,37.49346819
서울,강남구,신호위반,127.0467622,37.494071
서울,금천구,과속,126.8973279,37.44717251
서울,서대문구,안전운전 의무 불이행,126.9149591,37.56961078
서울,용산구,보행자 보호의무 위반,126.9998183,37.53601092
서울,성북구,신호위반,127.0091217,37.61547662
서울,강북구,보행자 보호의무 위반,127.0135447,37.63399943
서울,동대문구,교차로 통행방법 위반,127.0688157,37.58944466
서울,동대문구,안전운전 의무 불이행,127.0603422,37.59633754
서울,동대문구,안전거리 미확보,127.0310469,37.57396874
